ax,ay,az,gx,gy,gz,magnitude,timestamp
-0.178,-0.701,0.723,-11.841,6.348,2.014,1.023,1773724741952
-0.133,-0.567,0.688,17.578,-0.488,5.188,0.902,1773724741967
-0.149,-0.650,0.773,5.371,2.258,0.732,1.021,1773724742029
-0.143,-0.637,0.766,-0.793,-0.366,-0.427,1.006,1773724742055
-0.144,-0.638,0.757,-0.916,0.000,0.122,1.001,1773724742085
-0.144,-0.638,0.762,1.404,-0.244,-0.244,1.005,1773724742147
-0.138,-0.647,0.767,0.977,-0.671,1.160,1.013,1773724742178
-0.129,-0.630,0.760,43.091,-1.648,17.090,0.995,1773724742208
-0.125,-0.713,0.706,21.912,3.174,4.761,1.011,1773724742268
-0.114,-0.653,0.733,0.549,-1.160,-1.343,0.988,1773724742297
-0.058,-0.621,0.749,-22.339,-9.583,-11.475,0.975,1773724742327
-0.104,-0.718,0.700,36.011,1.953,-7.935,1.008,1773724742386
0.274,-0.609,0.813,-47.180,-50.842,-18.188,1.052,1773724742418
-0.417,-0.276,0.872,406.433,-196.228,5.432,1.006,1773724742447
-0.569,-1.001,0.141,274.170,-120.117,-72.144,1.160,1773724742511
-0.505,-0.865,0.174,27.832,-45.654,-62.378,1.017,1773724742537
-0.605,-0.824,0.305,-96.069,-59.814,-129.333,1.067,1773724742565
-0.474,-0.959,0.203,60.486,-74.768,-87.769,1.089,1773724742632
-0.488,-0.833,0.112,-16.541,-33.997,-64.209,0.972,1773724742656
-0.598,-0.739,0.308,14.832,-74.463,-80.017,0.999,1773724742686
-0.528,-0.708,0.189,145.447,-95.154,-57.312,0.903,1773724742748
-0.842,-0.785,0.016,165.039,-97.717,-42.969,1.151,1773724742779
-0.718,-0.612,-0.081,194.946,-112.549,-131.592,0.946,1773724742805
-0.901,-0.682,-0.271,211.426,-97.107,-128.235,1.162,1773724742868
-1.014,-0.350,0.115,199.707,-62.317,-155.823,1.079,1773724742897
-0.996,-0.083,0.284,229.370,72.266,-215.637,1.039,1773724742933
-1.488,-0.043,0.034,269.409,230.896,-196.594,1.489,1773724742990
-1.599,-0.053,-0.102,284.912,382.019,-99.365,1.604,1773724743078
-1.587,-0.005,-0.535,146.545,494.385,103.821,1.675,1773724743104
-1.426,0.103,-0.626,193.848,204.468,179.077,1.560,1773724743140
-1.144,0.123,-0.566,67.749,-14.465,265.503,1.282,1773724743199
-1.342,0.293,-0.456,-14.038,-250.610,261.841,1.447,1773724743227
-0.945,0.220,-0.285,-42.664,-438.599,216.309,1.011,1773724743259
-2.519,0.409,0.152,70.129,-729.858,103.455,2.557,1773724743349
-2.207,0.297,0.330,-47.180,-591.187,-170.410,2.251,1773724743410
-1.811,0.162,0.413,-42.725,-483.643,-302.307,1.865,1773724743435
-1.214,-0.013,0.481,-2.075,-282.104,-343.018,1.306,1773724743467
-1.146,-0.101,0.404,14.160,-50.049,-305.969,1.219,1773724743529
-1.180,-0.175,0.297,76.355,116.089,-301.880,1.230,1773724743558
-1.231,-0.194,0.149,139.709,268.860,-188.721,1.255,1773724743586
-1.593,-0.088,-0.003,201.355,331.543,-71.777,1.596,1773724743616
-1.500,-0.071,-0.112,189.209,380.737,54.871,1.506,1773724743682
-1.584,0.049,-0.199,243.591,290.833,150.391,1.598,1773724743705
