ax,ay,az,gx,gy,gz,magnitude,whip,timestamp
-1.036,-0.292,-0.105,20.630,11.353,-14.282,1.081,10.81,1773811333841
-1.043,-0.290,-0.140,24.353,9.460,-13.489,1.091,10.91,1773811333865
-1.016,-0.241,-0.136,42.175,2.991,-13.733,1.053,10.53,1773811333894
-0.992,-0.203,-0.131,53.772,-1.770,-18.188,1.021,10.21,1773811333955
-1.012,-0.208,-0.167,57.068,-7.629,-23.499,1.047,10.47,1773811333984
-1.032,-0.173,-0.186,49.255,-15.503,-26.733,1.063,-0.18,1773811334021
-1.035,-0.183,-0.196,45.593,-24.292,-29.724,1.070,-0.22,1773811334077
-0.970,-0.159,-0.180,45.593,-30.396,-35.278,1.000,-0.53,1773811334109
-0.970,-0.193,-0.181,48.828,-33.569,-41.687,1.006,-0.15,1773811334134
-0.917,-0.168,-0.164,49.011,-33.081,-47.180,0.947,-1.00,1773811334197
-0.915,-0.211,-0.198,51.941,-31.250,-50.171,0.960,-1.03,1773811334225
-0.944,-0.211,-0.241,57.373,-31.067,-47.607,0.997,-0.73,1773811334254
-0.921,-0.207,-0.279,52.368,-31.433,-41.382,0.984,-0.15,1773811334316
-0.907,-0.184,-0.322,58.411,-33.630,-35.706,0.980,-0.26,1773811334344
-0.894,-0.149,-0.358,58.472,-36.316,-30.457,0.974,0.28,1773811334377
-0.895,-0.151,-0.419,58.350,-41.138,-25.085,1.000,0.40,1773811334434
-0.909,-0.125,-0.460,65.308,-48.218,-21.545,1.026,0.30,1773811334464
-0.942,-0.100,-0.510,65.063,-58.167,-17.395,1.076,0.92,1773811334495
-0.929,-0.050,-0.553,72.144,-72.021,-15.442,1.082,1.02,1773811334556
-0.917,0.010,-0.574,70.984,-79.346,-14.771,1.081,1.07,1773811334584
-0.904,0.056,-0.594,55.664,-89.783,-13.916,1.083,0.83,1773811334614
-0.895,-0.155,0.023,41.443,-81.970,-5.981,0.909,-1.17,1773811334679
-0.828,0.085,-0.416,37.292,-21.912,20.142,0.931,-1.45,1773811334706
-0.773,0.354,-0.665,46.997,-21.545,18.188,1.079,-0.03,1773811334734
-0.729,0.329,-0.708,45.349,-38.696,5.432,1.068,-0.13,1773811334794
-0.709,-0.248,-0.733,24.109,-59.143,32.288,1.050,-0.34,1773811334825
-0.658,0.391,-0.768,20.630,-65.369,37.659,1.084,1.75,1773811334855
-0.480,0.444,-0.588,6.653,-80.872,27.832,0.880,-0.51,1773811334918
-0.509,0.293,-0.689,-1.465,-85.632,18.738,0.905,-1.74,1773811334946
-0.522,0.210,-0.596,-20.081,-77.759,26.245,0.820,-2.49,1773811334975
-0.546,0.134,-0.962,-50.354,-70.496,40.222,1.115,0.65,1773811335068
-0.455,0.182,-0.895,-33.386,-59.265,49.805,1.021,-0.63,1773811335070
-0.489,0.075,-1.156,4.211,-35.278,59.570,1.257,3.78,1773811335096
-0.402,0.209,-1.070,80.566,-28.931,74.097,1.162,2.57,1773811335155
